transaction_id,timestamp,amount,payment_method,route,status,failure_code,recoverable,ground_truth_action,attempt_count
TXN_0001,2026-08-27T09:01:00,14728,UPI,ROUTE_B,success,,0,,0
TXN_0002,2026-08-27T09:02:00,35841,UPI,ROUTE_A,success,,0,,0
TXN_0003,2026-08-27T09:03:00,14428,UPI,ROUTE_A,failed,insufficient_funds,1,PAYMENT_LINK,0
TXN_0004,2026-08-27T09:04:00,46062,CARD,ROUTE_B,success,,0,,0
TXN_0005,2026-08-27T09:05:00,525,UPI,ROUTE_B,success,,0,,0
TXN_0006,2026-08-27T09:06:00,18310,UPI,ROUTE_C,success,,0,,0
TXN_0007,2026-08-27T09:07:00,6178,NETBANKING,ROUTE_A,success,,0,,0
TXN_0008,2026-08-27T09:08:00,17435,UPI,ROUTE_A,success,,0,,0
TXN_0009,2026-08-27T09:09:00,24907,CARD,ROUTE_C,success,,0,,0
TXN_0010,2026-08-27T09:10:00,23800,UPI,ROUTE_A,success,,0,,0
TXN_0011,2026-08-27T09:11:00,15035,CARD,ROUTE_B,failed,mandate_cancelled,1,PAYMENT_LINK,0
TXN_0012,2026-08-27T09:12:00,25011,NETBANKING,ROUTE_C,success,,0,,0
TXN_0013,2026-08-27T09:13:00,24360,CARD,ROUTE_A,success,,0,,0
TXN_0014,2026-08-27T09:14:00,44896,CARD,ROUTE_A,success,,0,,0
TXN_0015,2026-08-27T09:15:00,47884,CARD,ROUTE_B,success,,0,,0
TXN_0016,2026-08-27T09:16:00,42043,UPI,ROUTE_A,success,,0,,0
TXN_0017,2026-08-27T09:17:00,3765,UPI,ROUTE_B,success,,0,,0
TXN_0018,2026-08-27T09:18:00,17646,UPI,ROUTE_A,success,,0,,0
TXN_0019,2026-08-27T09:19:00,47149,NETBANKING,ROUTE_A,success,,0,,0
TXN_0020,2026-08-27T09:20:00,42229,CARD,ROUTE_A,success,,0,,0
TXN_0021,2026-08-27T09:21:00,36889,UPI,ROUTE_B,success,,0,,0
TXN_0022,2026-08-27T09:22:00,38342,CARD,ROUTE_B,success,,0,,0
TXN_0023,2026-08-27T09:23:00,33492,UPI,ROUTE_A,success,,0,,0
TXN_0024,2026-08-27T09:24:00,10116,CARD,ROUTE_B,success,,0,,0
TXN_0025,2026-08-27T09:25:00,4263,CARD,ROUTE_B,success,,0,,0
TXN_0026,2026-08-27T09:26:00,16576,CARD,ROUTE_A,success,,0,,0
TXN_0027,2026-08-27T09:27:00,47333,NETBANKING,ROUTE_C,failed,bank_technical_error,1,RETRY,0
TXN_0028,2026-08-27T09:28:00,22393,CARD,ROUTE_C,success,,0,,0
TXN_0029,2026-08-27T09:29:00,47423,UPI,ROUTE_A,success,,0,,0
TXN_0030,2026-08-27T09:30:00,11808,UPI,ROUTE_C,success,,0,,0
TXN_0031,2026-08-27T09:31:00,41974,UPI,ROUTE_B,success,,0,,0
TXN_0032,2026-08-27T09:32:00,10687,UPI,ROUTE_B,success,,0,,0
TXN_0033,2026-08-27T09:33:00,137,CARD,ROUTE_B,success,,0,,0
TXN_0034,2026-08-27T09:34:00,23888,UPI,ROUTE_B,success,,0,,0
TXN_0035,2026-08-27T09:35:00,3896,NETBANKING,ROUTE_C,success,,0,,0
TXN_0036,2026-08-27T09:36:00,48066,CARD,ROUTE_A,success,,0,,0
TXN_0037,2026-08-27T09:37:00,8341,UPI,ROUTE_B,success,,0,,0
TXN_0038,2026-08-27T09:38:00,17470,UPI,ROUTE_A,success,,0,,0
TXN_0039,2026-08-27T09:39:00,35443,CARD,ROUTE_B,success,,0,,0
TXN_0040,2026-08-27T09:40:00,26248,CARD,ROUTE_C,success,,0,,0
TXN_0041,2026-08-27T09:41:00,34019,CARD,ROUTE_C,success,,0,,0
TXN_0042,2026-08-27T09:42:00,1478,UPI,ROUTE_B,success,,0,,0
TXN_0043,2026-08-27T09:43:00,4752,UPI,ROUTE_B,success,,0,,0
TXN_0044,2026-08-27T09:44:00,2158,UPI,ROUTE_B,success,,0,,0
TXN_0045,2026-08-27T09:45:00,43942,UPI,ROUTE_C,success,,0,,0
TXN_0046,2026-08-27T09:46:00,37523,CARD,ROUTE_B,success,,0,,0
TXN_0047,2026-08-27T09:47:00,26777,UPI,ROUTE_B,success,,0,,0
TXN_0048,2026-08-27T09:48:00,27859,UPI,ROUTE_A,success,,0,,0
TXN_0049,2026-08-27T09:49:00,42924,NETBANKING,ROUTE_B,success,,0,,0
TXN_0050,2026-08-27T09:50:00,22336,UPI,ROUTE_C,success,,0,,0
TXN_0051,2026-08-27T09:51:00,35246,UPI,ROUTE_C,success,,0,,0
TXN_0052,2026-08-27T09:52:00,16471,UPI,ROUTE_B,success,,0,,0
TXN_0053,2026-08-27T09:53:00,36166,UPI,ROUTE_C,success,,0,,0
TXN_0054,2026-08-27T09:54:00,1067,CARD,ROUTE_A,success,,0,,0
TXN_0055,2026-08-27T09:55:00,10999,NETBANKING,ROUTE_C,success,,0,,0
TXN_0056,2026-08-27T09:56:00,3942,UPI,ROUTE_B,success,,0,,0
TXN_0057,2026-08-27T09:57:00,29919,UPI,ROUTE_A,success,,0,,0
TXN_0058,2026-08-27T09:58:00,36522,CARD,ROUTE_A,success,,0,,0
TXN_0059,2026-08-27T09:59:00,14367,UPI,ROUTE_B,success,,0,,0
TXN_0060,2026-08-27T10:00:00,49119,CARD,ROUTE_C,success,,0,,0
TXN_0061,2026-08-27T10:01:00,34907,UPI,ROUTE_A,success,,0,,0
TXN_0062,2026-08-27T10:02:00,12278,NETBANKING,ROUTE_A,success,,0,,0
TXN_0063,2026-08-27T10:03:00,26561,UPI,ROUTE_A,success,,0,,0
TXN_0064,2026-08-27T10:04:00,39062,NETBANKING,ROUTE_A,success,,0,,0
TXN_0065,2026-08-27T10:05:00,37142,UPI,ROUTE_A,success,,0,,0
TXN_0066,2026-08-27T10:06:00,47036,NETBANKING,ROUTE_B,success,,0,,0
TXN_0067,2026-08-27T10:07:00,42403,UPI,ROUTE_A,success,,0,,0
TXN_0068,2026-08-27T10:08:00,4854,UPI,ROUTE_A,success,,0,,0
TXN_0069,2026-08-27T10:09:00,6652,CARD,ROUTE_A,success,,0,,0
TXN_0070,2026-08-27T10:10:00,22972,UPI,ROUTE_A,success,,0,,0
TXN_0071,2026-08-27T10:11:00,10438,NETBANKING,ROUTE_C,success,,0,,0
TXN_0072,2026-08-27T10:12:00,42958,CARD,ROUTE_B,success,,0,,0
TXN_0073,2026-08-27T10:13:00,43575,CARD,ROUTE_B,success,,0,,0
TXN_0074,2026-08-27T10:14:00,7114,NETBANKING,ROUTE_A,success,,0,,0
TXN_0075,2026-08-27T10:15:00,13903,UPI,ROUTE_B,success,,0,,0
TXN_0076,2026-08-27T10:16:00,17400,UPI,ROUTE_B,success,,0,,0
TXN_0077,2026-08-27T10:17:00,3429,UPI,ROUTE_B,success,,0,,0
TXN_0078,2026-08-27T10:18:00,332,UPI,ROUTE_A,success,,0,,0
TXN_0079,2026-08-27T10:19:00,10689,UPI,ROUTE_A,success,,0,,0
TXN_0080,2026-08-27T10:20:00,733,CARD,ROUTE_B,success,,0,,0
TXN_0081,2026-08-27T10:21:00,9868,NETBANKING,ROUTE_A,success,,0,,0
TXN_0082,2026-08-27T10:22:00,9805,NETBANKING,ROUTE_B,success,,0,,0
TXN_0083,2026-08-27T10:23:00,2714,UPI,ROUTE_B,success,,0,,0
TXN_0084,2026-08-27T10:24:00,6836,UPI,ROUTE_C,success,,0,,0
TXN_0085,2026-08-27T10:25:00,40775,CARD,ROUTE_A,success,,0,,0
TXN_0086,2026-08-27T10:26:00,10749,NETBANKING,ROUTE_B,success,,0,,0
TXN_0087,2026-08-27T10:27:00,1724,NETBANKING,ROUTE_C,success,,0,,0
TXN_0088,2026-08-27T10:28:00,27082,NETBANKING,ROUTE_A,success,,0,,0
TXN_0089,2026-08-27T10:29:00,17585,NETBANKING,ROUTE_C,success,,0,,0
TXN_0090,2026-08-27T10:30:00,2637,CARD,ROUTE_A,success,,0,,0
TXN_0091,2026-08-27T10:31:00,30266,UPI,ROUTE_C,success,,0,,0
